##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): June 2, 2015, 12:40 a.m.
## Download Date (Y/M/D): 2015/06/05
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;inclNoJust&quot;:true,&quot;etvlong&quot;:true,&quot;campaign&quot;:[&quot;-2&quot;],&quot;inclFPlinked&quot;:true,&quot;inclHasSource&quot;:true,&quot;kics&quot;:[],&quot;cols&quot;:[&quot;pdepth&quot;,&quot;scdata&quot;,&quot;bjd0&quot;,&quot;glat&quot;,&quot;morph&quot;,&quot;swidth&quot;,&quot;ra&quot;,&quot;lcdata&quot;,&quot;figs&quot;,&quot;flags&quot;,&quot;sep&quot;,&quot;sigma&quot;,&quot;sdepth&quot;,&quot;keff&quot;,&quot;kic&quot;,&quot;p&quot;,&quot;pwidth&quot;,&quot;dec&quot;,&quot;kmag&quot;,&quot;glon&quot;],&quot;etvshort&quot;:true,&quot;inclFPnotlinked&quot;:true,&quot;incat1&quot;:true,&quot;inclHasJust&quot;:true,&quot;inclNoSource&quot;:true,&quot;kois&quot;:[]}
##
#KIC,period,bjd0,pdepth,sdepth,pwidth,swidth,sep,sigma,morph,Teff,kmag,RA,DEC,GLon,GLat,SC,
10417986,0.0737309,55000.027853,0.0008,0.0008,0.2914,0.2909,0.4874,0.0001,0.98,-1.0000,9.1280,296.7488,47.5438,81.0390,11.0820,True,
8912468,0.0948380,54953.576945,0.0057,0.0060,0.2475,0.2598,0.4968,0.0004,0.98,6194.0000,11.7510,300.1156,45.1679,80.1095,7.8882,False,
8758716,0.1072049,54953.673285,0.0187,0.0186,0.2648,0.2589,0.4983,0.0021,1.00,-1.0000,13.5310,293.8519,44.9494,77.7478,11.6565,False,
10855535,0.1127824,54964.631452,0.0165,0.0163,0.2828,0.3425,0.5020,0.0012,0.99,7555.0000,13.8700,289.2119,48.2031,79.3949,15.9212,False,
9472174,0.1257653,54953.643547,0.0412,-1.0000,0.1633,-1.0000,1.0000,0.0037,0.78,10645.0000,12.2640,294.6359,46.0664,79.0187,11.6745,True,
9612468,0.1334715,54953.604225,0.0011,0.0011,0.3192,0.1460,0.4991,0.0002,1.00,7202.0000,11.5310,299.9821,46.2624,81.0112,8.5285,False,
6613627,0.1507996,55115.344848,0.0077,0.0076,0.2630,0.2490,0.5026,0.0019,0.99,7090.0000,12.5480,293.9765,42.0483,75.1606,10.2517,False,
8912730,0.1508948,54999.986727,0.0019,-1.0000,0.2871,-1.0000,1.0000,0.0016,0.82,6649.0000,13.9300,300.1941,45.1457,80.1190,7.8293,False,
5302006,0.1511712,54980.509040,0.0027,-1.0000,0.2816,-1.0000,1.0000,0.0011,0.97,6536.0000,15.0500,298.2990,40.4703,75.3495,6.6449,False,
9898401,0.1527742,54964.734514,0.0032,0.0032,0.2390,0.2430,0.5012,0.0002,0.99,7376.0000,12.0730,294.8448,46.7042,79.6654,11.8375,False,
